Measurement Name,7089-Yonatan 18.3.18_01 (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time of run,18/03/2018 09:45:25 (1521366325),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration,51274 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyzer model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial number,7089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement mode,Autostore (Normal Range),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start mode,Daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duration (s),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel 1,-20 dB,AC,,PCB 377B07 166403 1/2,0.00626676 (V)/(Pa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/3 Octave CH1 - 1/2""",0.315 Hz ÷ 2 kHz,,,Slow,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SLM CH1 - 1/2""",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CH1 - 1/2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overload count,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underrange count,10413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marker count,Alarm Yellow,Alarm Blue,Alarm Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,0.315,0.4,0.5,0.6300001,0.8,1,1.25,1.6,2,2.5,3.15,4,5,6.3,8,10,12.5,16,20,25,31.5,40,50,63,80,100,125,160,200,250,315,400,500,630,800,1000,1250,1600,2000,SUM(LIN),SUM(A)
s,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB,dB
1,83.57117462,75.99737549,84.63111877,75.41867065,69.27558136,83.52568817,80.14103699,87.32191467,79.92914581,72.23323059,66.35358429,59.22286606,56.40300369,50.79179764,50.7414093,45.8889389,46.37057877,47.76126862,47.18309784,47.59332657,46.75048065,46.03178406,46.05729675,53.6343689,44.21316528,44.36579895,44.09472656,40.38405609,42.37552643,39.91896057,38.87274933,42.02144241,40.21220398,36.47056198,34.46279907,36.4778862,35.22748947,36.01469803,34.16347122,92.01694489,45.89881516
2,85.38285065,76.63395691,82.78502655,73.23140717,77.88513947,87.26423645,80.81159973,86.52563477,75.98742676,73.14395905,62.25975037,55.51086044,52.48148346,51.16908646,48.31386566,48.43132782,46.59614182,50.03614426,47.86291122,47.84667587,45.13780212,46.34436798,46.11000824,52.62480927,42.19087982,44.94353867,44.07839203,42.14250946,42.54546738,40.06906128,39.62031555,41.28111267,39.56335449,36.21300125,35.4256134,36.27598572,35.41542053,35.87748718,33.47573853,92.62419891,45.7557373
3,84.26730347,74.13071442,80.58363342,69.5572052,80.86067963,89.40544128,83.28160095,84.27692413,72.87534332,70.86084747,58.29589844,54.53845978,52.88996887,48.13544464,49.40882111,49.19255829,47.76174545,48.70523071,47.62502289,46.92259979,49.18916702,47.47852707,46.37188339,53.29961777,42.93094254,44.14070129,43.22303009,43.70824814,43.37807465,41.64655685,39.89036179,40.99715805,39.60626984,36.45868683,35.87273407,36.15470123,35.77119827,35.87724304,33.27401352,92.84388733,45.93967056
4,86.06202698,71.34266663,79.11267853,69.61386108,84.1574707,90.39199829,83.15033722,80.97244263,69.19355011,69.27669525,59.75566101,53.7545433,54.34095383,52.41332626,52.53361511,52.524086,52.66921616,49.87265778,49.76738358,49.21504593,48.02695847,47.81990814,49.30047989,52.50821686,44.62849045,46.22462463,44.76259232,46.06357193,45.47061539,44.24901581,43.01503754,43.16470337,42.553936,40.4375,38.46408081,38.37506866,38.89772797,39.33288574,36.70077133,93.45298004,48.80342102
5,85.88465881,69.24275208,78.8504715,73.60775757,84.78207397,90.49949646,79.68787384,81.1840744,70.33650208,71.52394867,59.78202438,55.59996796,53.96556473,53.14631653,51.12304688,53.30192566,50.81684113,50.16735458,50.92897797,48.26411819,49.60076904,48.12763977,47.63909149,52.04725266,44.57152557,45.38047409,44.70862579,45.37929916,45.05311584,43.39357376,41.92171478,42.4753952,41.98402405,39.59201813,37.96158218,37.98810577,37.98661804,38.84739685,35.76796341,93.36659241,48.13015366
6,85.29956818,68.08557892,79.38516235,80.46305847,84.67299652,90.10749054,79.04454041,85.74253082,76.12854767,70.81445313,63.52915192,56.4550209,54.93316269,52.57915878,50.65587997,53.42967606,50.69223022,50.07102966,49.70814514,46.87149429,48.51416016,48.20036316,44.9718895,50.71850586,43.98880005,44.4018898,43.50991058,43.58707428,43.67538452,42.03983688,40.532341,41.56929779,40.48947906,38.70461655,37.27051163,37.43576813,37.23810959,38.01961517,34.67954636,93.75579071,47.14315033
7,86.5883255,70.62091827,79.24957275,85.69824219,82.49543762,89.68258667,82.76327515,88.39820099,74.44365692,69.18215942,60.30456924,54.74047089,53.90886688,51.897995,48.50391006,53.02014923,51.44620514,50.80848312,49.39962769,48.3850174,50.07582092,48.71907806,44.53362274,51.3414917,43.07600021,42.78794098,43.82403564,43.11533356,42.48693466,41.32091904,40.12664032,41.0592308,40.57363892,38.51244736,37.31908798,37.94123077,37.56611252,38.37100601,34.90923309,94.69770813,47.16867828
8,85.45600128,72.7410965,80.16320801,88.26522827,79.06990814,88.51811218,83.94766998,88.14105225,71.85301971,66.41721344,58.05406189,57.37449646,53.01270294,49.51898956,48.48446655,51.47173309,47.9966507,51.19995117,48.51465607,48.0655899,49.30633163,47.36514664,43.36893082,51.0234642,43.56266403,43.52999878,43.69218826,42.16834259,41.98295975,41.51293182,39.75588608,41.02352905,40.16215515,38.24897385,37.14106369,37.78372574,37.60554504,38.17736816,34.67355728,94.56112671,46.98353577
9,85.59127045,75.55162811,78.59911346,90.25939178,79.49887085,86.35385132,83.83415222,85.17346191,71.24591064,62.3473053,59.32215118,53.38870621,53.09051132,49.99187851,52.88174057,54.87091446,51.7000618,49.89044571,50.61087799,53.54964447,49.2866478,46.32992554,45.36737823,51.13447189,42.64026642,44.08243561,43.560215,42.25640106,41.06847763,40.91360474,39.25476456,40.17184448,39.59247208,37.10908508,36.18630219,36.74784088,36.51026917,37.09867859,33.94736099,94.21946716,46.11442947
